Date, Name, Minutes, Seconds, Distance,Pace, Unit, Feel, Notes, Cross Train Type, Calulate Pace, Field 1, Field 2
2011-04-26,Commute (Bike),29,26,3.92425,07:30,miles,3,,,1,,
2011-04-26,Iron Mountain,44,11,6,07:21,miles,3,,,1,,
2011-04-27,Commute (Bike),28,25,3.78836,07:30,miles,3,,,1,,
2011-04-27,Some run,48,3,6.40667,07:29,miles,3,,,1,,
2011-04-28,Commute (Bike),29,56,3.99048,07:30,miles,3,,,1,,
2011-04-28,Warm up,13,0,2,06:30,miles,3,,,1,,
2011-04-28,L&C Open Mile,4,44,1,04:44,miles,3,,,1,,
2011-04-29,Commute (Bike),18,19,2.44,07:30,miles,3,,,1,,
2011-04-30,Skyline (Bike),46,28,6.19651,07:29,miles,4,,,1,,
2011-05-01,Errands (Bike),12,50,1.71209,07:29,miles,4,,,1,,
2011-05-02,Commute (Bike),17,31,2.3356,07:29,miles,4,,,1,,
2011-05-03,Commute (Bike),18,7,2.41494,07:30,miles,4,,,1,,
2011-05-04,Commute (Bike),18,30,2.46623,07:30,miles,4,,,1,,
2011-05-04,Pete's Mountain (Bike),93,55,12.5213,07:30,miles,3,,,1,,
2011-05-05,Commute (Bike),17,23,2.31807,07:29,miles,4,,,1,,
2011-05-06,Commute (Bike),17,21,2.31329,07:30,miles,4,,,1,,
2011-05-07,Errands (Bike),5,13,0.69584,07:29,miles,5,,,1,,
2011-05-08,Errands (Bike),32,7,4.28217,07:30,miles,4,,,1,,
2011-05-09,Commute (Bike),18,52,2.51479,07:30,miles,4,,,1,,
2011-05-10,Commute (Bike),17,52,2.38211,07:30,miles,4,,,1,,
2011-05-10,Schaeffer (Bike),78,16,10.4363,07:29,miles,4,"http://www.mapmyfitness.com/routes/view/33997280/

34 miles, 2 hr",,1,,
2011-05-11,Commute (Bike),17,46,2.36894,07:29,miles,4,,,1,,
2011-05-12,Commute (Bike),22,25,2.98935,07:29,miles,4,,,1,,
2011-05-12,Bald Peak (Bike),122,2,16.2707,07:30,miles,4,,,1,,
2011-05-13,Commute (Bike),17,39,2.35358,07:29,miles,3,,,1,,
2011-05-13,Commute (Bike),15,5,2.01147,07:29,miles,4,,,1,,
2011-05-13,Nature Center,35,33,4,08:53,miles,3,,,1,,
2011-05-14,Errands (Bike),19,11,2.55752,07:30,miles,4,,,1,,
2011-05-16,Commute (Bike),29,27,3.92744,07:29,miles,4,,,1,,
2011-05-16,Iron Mountain,44,45,6,07:27,miles,3,,,1,,
2011-05-17,Commute (Bike),20,9,2.68692,07:29,miles,3,,,1,,
2011-05-18,Commute (Bike),30,0,3.99921,07:30,miles,4,,,1,,
2011-05-18,Batman+,31,0,4.4,07:02,miles,3,,,1,,
2011-05-19,Commute + Rosemont (Bike),87,37,11.6831,07:29,miles,3,,,1,,
